City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,vilyuchinsk,52.9306,158.4028,4.58,74,52,17.47,RU,1712795921
84,broken hill,-31.95,141.4333,16.19,54,0,5.64,AU,1712796212
85,nenjiang,49.1833,125.2167,10.18,38,0,1.2,CN,1712796484
86,port-aux-francais,-49.35,70.2167,7.04,95,100,6.71,TF,1712796402
87,puerto ayora,-0.7393,-90.3518,25.31,99,65,2.34,EC,1712796397
88,hilo,19.7297,-155.09,27.38,66,75,3.6,US,1712796289
89,nuku'alofa,-21.1333,-175.2,29.19,74,40,7.47,TO,1712796404
90,buon ma thuot,12.6667,108.05,26.77,61,3,3.13,VN,1712796341
91,olonkinbyen,70.9221,-8.7187,-6.99,72,100,5.52,SJ,1712795963
92,puerto leguizamo,-0.1934,-74.7819,24.41,91,44,1.97,CO,1712796487
93,severnoye,56.3491,78.3619,-5.01,88,100,3.13,RU,1712796488
94,ta`u,-14.2336,-169.5144,29.18,77,33,4.09,AS,1712796488
95,romodanovo,54.4275,45.3296,9.49,86,76,2.44,RU,1712796488
96,zouerate,22.7187,-12.4521,27.36,11,0,0.79,MR,1712796489
97,kununurra,-15.7667,128.7333,26.99,41,52,6.17,AU,1712796297
98,albany,42.6001,-73.9662,12.04,92,100,1.09,US,1712796346
99,ji'an,27.1172,114.9793,19.81,89,100,1.01,CN,1712796490
100,kapuskasing,49.4169,-82.4331,11.05,58,40,1.54,CA,1712795976
101,nantucket,41.2835,-70.0995,9.45,93,75,7.2,US,1712796448
102,rio claro,-22.4114,-47.5614,21.49,77,25,0.74,BR,1712796491
103,semirom,31.4167,51.5667,5.74,66,0,8.63,IR,1712796491
104,kerikeri,-35.2268,173.9474,21.06,93,100,7.96,NZ,1712796292
105,koryazhma,61.3143,47.1691,3.84,88,100,5.1,RU,1712796492
106,igarka,67.4667,86.5833,-26.64,97,40,4.04,RU,1712796492
107,morondava,-20.2833,44.2833,25.29,88,100,2.64,MG,1712796493
108,barcelos,41.5388,-8.6151,14.27,85,100,1.91,PT,1712796217
109,qaqortoq,60.7167,-46.0333,-5.27,94,95,1.04,GL,1712796427
110,caxias,38.7031,-9.2767,18.35,57,0,3.09,PT,1712796494
111,yellowknife,62.456,-114.3525,0.79,87,20,3.6,CA,1712796193
112,al bawiti,28.3492,28.8659,15.83,48,0,1.6,EG,1712796494
113,port mathurin,-19.6833,63.4167,26.75,78,27,4.9,MU,1712796495
114,alice springs,-23.7,133.8833,19.56,34,3,7.2,AU,1712796483
115,elblag,54.1522,19.4088,7.21,81,1,2.82,PL,1712796496
116,iqaluit,63.7506,-68.5145,-2.15,79,100,4.63,CA,1712795934
117,tolanaro,-25.0319,46.9987,24.04,94,40,1.03,MG,1712796496
118,colotlan,22.1,-103.2667,21.9,10,11,3.45,MX,1712796497
119,tir pul,34.5943,61.269,13.88,57,53,1.36,AF,1712796497
120,enewetak,11.3474,162.3373,27.15,80,100,9.78,MH,1712796498
121,salalah,17.0151,54.0924,26.05,73,40,1.54,OM,1712796498
122,mpika,-11.8343,31.4529,18.03,95,100,1.25,ZM,1712796055
123,tynda,55.1667,124.7167,-5.66,95,68,0.28,RU,1712796499
124,remire-montjoly,4.9167,-52.2667,28.02,83,75,2.57,GF,1712796499
125,tara,56.8944,74.371,-3.65,86,100,3.02,RU,1712796500
126,lepsy,46.235,78.9456,9.87,73,100,2.64,KZ,1712796500
127,ribeira grande,38.5167,-28.7,17.65,94,75,8.05,PT,1712796500
128,guerrero negro,27.9769,-114.0611,21.52,40,0,6.55,MX,1712796423
129,codrington,-38.2667,141.9667,14.69,65,100,4.64,AU,1712796501
130,arraial do cabo,-22.9661,-42.0278,25.22,88,0,5.31,BR,1712796502
131,invercargill,-46.4,168.35,9.45,98,100,2.68,NZ,1712796405
132,paros,37.0833,25.15,19.06,76,0,2.06,GR,1712796502
133,christchurch,-43.5333,172.6333,26.41,62,40,7.2,NZ,1712796219
134,lugovoye,42.9094,72.7178,9.41,68,37,2.01,KZ,1712796503
135,cidreira,-30.1811,-50.2056,22.54,74,100,3.05,BR,1712796503
136,murudeshwara,14.0943,74.4845,25.77,84,5,1.41,IN,1712796504
137,coquimbo,-29.9533,-71.3436,13.85,100,100,2.57,CL,1712796222
138,newman,37.3138,-121.0208,27.13,49,100,2.24,US,1712796505
139,naze,28.3667,129.4833,19.51,64,97,2.46,JP,1712796505
140,sao joao da barra,-21.6403,-41.0511,24.05,87,0,3.06,BR,1712796505
141,necochea,-38.5473,-58.7368,12.65,66,80,5.45,AR,1712796433
142,hermanus,-34.4187,19.2345,13.78,72,3,8.27,ZA,1712796417
143,sequeira,40.5536,-7.2259,13.01,77,100,2.59,PT,1712796507
144,iskateley,67.6803,53.1512,-8.88,93,100,7.15,RU,1712796507
145,kailua-kona,19.6406,-155.9956,28.49,71,20,4.12,US,1712796262
146,talnakh,69.4865,88.3972,-32.11,99,91,1.7,RU,1712796508
147,kiunga,-6.1219,141.2906,29.7,70,85,2.03,PG,1712796508
148,margaret river,-33.95,115.0667,17.86,55,96,5.19,AU,1712796045
149,selfoss,63.9331,-20.9971,2.25,74,100,8.72,IS,1712796509
150,namibe,-15.1961,12.1522,21.96,71,100,3.04,AO,1712796509
151,cestos city,5.46,-9.5828,27.23,86,98,1.8,LR,1712796510
152,chui,-33.6971,-53.4616,15.88,63,73,5.89,UY,1712796510
153,rio grande,-32.035,-52.0986,20.06,73,99,9.02,BR,1712796297
154,smithers,54.7804,-127.1743,8.18,49,100,4.12,CA,1712796065
155,vorgashor,67.5833,63.95,-26.25,100,100,1.99,RU,1712796511
156,tazacorte,28.629,-17.9293,19.54,77,75,5.14,ES,1712796250
157,urangan,-25.3,152.9,25.11,66,100,4.92,AU,1712796512
158,sho'rchi,38.0141,67.7899,16.73,50,6,3.88,UZ,1712796512
159,salinopolis,-0.6136,-47.3561,26.8,85,100,3.67,BR,1712796512
160,sidi okba,34.7451,5.8983,18.16,48,40,6.69,DZ,1712796513
161,la cruz,23.9167,-106.9,21.07,53,0,2.7,MX,1712796513
162,nouadhibou,20.931,-17.0347,18.99,82,0,5.66,MR,1712796514
163,tiksi,71.6872,128.8694,-14.48,89,100,1.58,RU,1712796514
164,port alfred,-33.5906,26.891,16.58,67,45,5.52,ZA,1712796514
165,pertek,38.8663,39.3268,5.76,79,98,0.68,TR,1712796515
166,hadagalli,15.0167,75.95,25.52,65,4,2.71,IN,1712796515
167,ust'-kulom,61.6864,53.6902,0.66,99,100,1.98,RU,1712796515
168,al burayqah,30.4062,19.5739,17.02,64,0,4.23,LY,1712796516
169,san antonio de pale,-1.4014,5.6325,28.31,81,100,4.29,GQ,1712796517
170,zhaoyuan,37.3592,120.3964,17.01,57,0,5.96,CN,1712796517
171,tralee,52.2704,-9.7026,10.87,96,32,2.96,IE,1712796517
172,mudkhed,19.1667,77.5167,25.2,62,16,5.3,IN,1712796518
173,tazovsky,67.4667,78.7,-30.32,100,70,2.52,RU,1712796518
174,xam nua,20.4197,104.0439,24.12,68,100,0.64,LA,1712796518
175,kingston,17.997,-76.7936,28.53,74,20,8.75,JM,1712796132
176,isangel,-19.55,169.2667,32.06,70,40,3.09,VU,1712796438
177,rio gallegos,-51.6226,-69.2181,7.03,61,0,4.63,AR,1712796361
178,fisterra,42.9049,-9.2629,11.53,75,98,3.96,ES,1712796520
179,lebu,-37.6167,-73.65,11.67,75,87,1.01,CL,1712796061
180,ouadda,8.0777,22.4007,22.29,40,98,0.78,CF,1712796520
181,nar'yan-mar,67.6713,53.087,-8.83,93,100,7.15,RU,1712796521
182,nyurba,63.2842,118.3319,-7.08,92,100,5.0,RU,1712796409
183,richards bay,-28.783,32.0377,19.52,80,99,9.05,ZA,1712796521
184,al fuwayliq,26.4432,43.2534,18.88,29,83,4.43,SA,1712796522
185,vadso,70.0744,29.7487,3.49,93,100,2.57,NO,1712796522
186,vila franca do campo,37.7167,-25.4333,18.27,99,100,4.02,PT,1712796522
187,sehwan,26.4279,67.863,27.59,38,0,2.57,PK,1712796523
188,dapa,9.7594,126.0531,27.18,75,80,0.71,PH,1712796523
189,slave lake,55.2834,-114.769,6.99,45,0,2.06,CA,1712796249
190,tual,-5.6667,132.75,28.74,69,89,4.13,ID,1712796461
191,fale old settlement,-9.3852,-171.2468,30.1,73,20,3.65,TK,1712796432
192,rutland,43.6167,-73.0162,11.38,94,100,0.89,US,1712796525
193,poso,-1.3959,120.7524,29.21,68,67,0.67,ID,1712796525
194,ghat,24.9647,10.1728,24.9,31,96,4.43,LY,1712796526
195,wailua homesteads,22.0669,-159.378,28.24,71,0,4.63,US,1712796526
196,flying fish cove,-10.4217,105.6791,27.82,78,75,3.6,CX,1712796448
197,susanville,40.4163,-120.653,21.91,23,0,0.0,US,1712796527
198,anadyr,64.75,177.4833,-6.72,67,40,9.0,RU,1712796424
199,tejen,37.3834,60.5054,17.23,35,87,4.95,TM,1712796528
200,ust-nera,64.5667,143.2,-7.68,86,100,3.83,RU,1712796478
201,as sulayyil,20.4607,45.5779,29.14,50,49,1.28,SA,1712796528
202,lihue,21.9789,-159.3672,28.58,63,0,4.63,US,1712796504
203,saint-laurent-du-maroni,5.5039,-54.0289,25.42,89,100,1.93,GF,1712796529
204,malango,-2.9627,119.9001,25.82,71,67,0.99,ID,1712796529
205,hithadhoo,-0.6,73.0833,29.69,70,100,3.4,MV,1712796530
206,ketchikan,55.3422,-131.6461,6.99,87,100,3.09,US,1712796530
207,wulingyuan,29.3494,110.5441,12.84,96,100,0.16,CN,1712796530
208,kangding,30.0513,101.9603,12.11,59,22,1.34,CN,1712796531
209,mawlaik,23.6333,94.4167,24.89,23,7,1.18,MM,1712796531
210,kone,-21.0595,164.8658,24.59,96,100,1.74,NC,1712796532
211,weno,7.4515,151.8468,26.97,94,100,3.6,FM,1712796532
212,anyksciai,55.5256,25.1026,6.68,82,93,4.41,LT,1712796533
213,bilaspur,22.0833,82.15,25.29,53,100,2.47,IN,1712796533
214,udachny,66.4167,112.4,-24.75,93,79,8.28,RU,1712796533
215,halol,22.5,73.4667,25.58,49,100,2.34,IN,1712796534
216,manismata,-2.4667,111.0333,26.67,88,100,1.26,ID,1712796534
217,papatowai,-46.5619,169.4708,9.37,97,100,8.15,NZ,1712796535
218,kisanga,-7.4362,37.7034,23.8,92,100,0.9,TZ,1712796535
219,yulinshi,38.2906,109.7494,15.3,49,0,2.51,CN,1712796536
220,swift current,50.2834,-107.8014,8.45,34,20,11.83,CA,1712796299
221,papao,-17.75,-149.55,30.82,83,100,8.9,PF,1712796536
222,pisco,-13.7,-76.2167,22.03,83,0,4.63,PE,1712796537
223,katabu,-4.9333,122.5167,30.18,67,41,0.51,ID,1712796537
224,yuzhno-kurilsk,44.0306,145.8556,4.65,76,98,3.38,RU,1712796537
225,tanout,14.9709,8.8879,27.48,9,18,5.1,NE,1712796538
226,kodiak,57.79,-152.4072,2.73,56,20,3.6,US,1712796538
227,brookings,44.3114,-96.7984,14.0,56,40,6.69,US,1712796363
228,hamilton,39.1834,-84.5333,16.97,96,100,1.54,US,1712796038
229,brandon,27.9378,-82.2859,27.0,77,0,4.63,US,1712796370
230,berdigestyakh,62.0989,126.6992,-0.39,92,70,3.68,RU,1712796539
231,utrik,11.2278,169.8474,26.62,78,97,10.45,MH,1712796540
232,klyuchi,52.2667,79.1667,2.88,97,100,1.41,RU,1712796540
233,malayer,34.2969,48.8235,6.82,83,0,1.25,IR,1712796540
234,klaksvik,62.2266,-6.589,7.51,97,100,10.27,FO,1712796541
235,longyearbyen,78.2186,15.6401,-15.09,72,20,5.66,SJ,1712796541
236,changde,29.0464,111.6783,16.01,92,100,1.27,CN,1712796542
237,sibolga,1.7427,98.7792,27.56,78,96,0.43,ID,1712796542
238,carrizal,10.3499,-66.9863,20.67,55,0,0.87,VE,1712796543
239,tongchuan,35.0806,109.0897,16.74,60,100,1.33,CN,1712796543
240,tromso,69.6496,18.957,3.01,87,75,2.57,NO,1712796543
241,polyarnyy,69.1989,33.4478,2.79,93,100,8.35,RU,1712796544
242,harstad,68.799,16.5293,3.12,97,100,14.31,NO,1712796544
243,isafjordur,66.0755,-23.124,-4.08,89,84,1.95,IS,1712796544
244,burutu,5.3509,5.5076,27.04,84,100,2.29,NG,1712796545
245,lander,42.833,-108.7307,9.22,51,81,2.63,US,1712796404
246,saint-georges,12.0564,-61.7485,27.82,74,20,6.17,GD,1712796262
247,manay,7.215,126.5397,29.15,57,98,3.5,PH,1712796546
248,chadron,42.8294,-102.9999,10.86,32,0,11.83,US,1712796546
249,estevan,49.1334,-102.9842,9.11,43,100,10.8,CA,1712796041
250,saipan,15.1355,145.701,31.39,62,40,8.23,MP,1712796547
251,betio village,1.358,172.9211,31.02,78,100,4.35,KI,1712796548
252,hassi messaoud,31.6804,6.0729,17.92,42,0,3.6,DZ,1712796548
253,khandyga,62.6667,135.6,-2.06,86,63,2.52,RU,1712796548
254,sungai raya,0.7,108.9,27.91,78,100,1.75,ID,1712796025
255,mityana,0.4175,32.0228,17.49,99,90,0.15,UG,1712796549
256,balamban,10.4667,123.7833,25.25,55,34,2.71,PH,1712796549
257,mirny,62.5353,113.9611,-12.09,83,100,3.58,RU,1712796550
258,courtenay,49.6866,-124.9936,12.77,61,100,4.63,CA,1712796550
259,lodja,-3.4833,23.4333,22.18,90,100,0.74,CD,1712796551
260,egilsstadir,65.2653,-14.3948,1.95,80,75,4.63,IS,1712796551
261,mweka,-4.85,21.5667,21.19,93,100,0.4,CD,1712796552
262,la rinconada,37.4873,-5.9826,17.96,60,0,4.12,ES,1712796552
263,tahe,52.3333,124.7333,6.89,44,0,0.86,CN,1712796552
264,pandan,14.0453,124.1694,28.24,69,75,3.58,PH,1712796553
265,east london,-33.0153,27.9116,16.33,73,41,6.32,ZA,1712796553
266,taroa,8.7058,171.2275,27.42,79,94,9.37,MH,1712796554
267,puerto colombia,10.9878,-74.9547,28.05,82,2,8.21,CO,1712796554
268,obo,5.3998,26.4869,21.99,50,65,0.89,CF,1712796554
269,daru,-9.0763,143.2092,27.12,87,100,1.0,PG,1712796078
270,port saint john's,-31.6229,29.5448,16.8,83,67,7.56,ZA,1712795980
271,crane,31.3974,-102.3501,20.01,21,0,5.66,US,1712796555
272,sredets,42.3475,27.179,10.06,78,0,0.33,BG,1712796556
273,dabakala,8.3667,-4.4333,24.25,87,100,0.56,CI,1712796556
274,cozumel,20.5083,-86.9458,27.75,83,2,5.34,MX,1712796450
275,mount gambier,-37.8333,140.7667,14.97,58,100,3.07,AU,1712796401
276,latur,18.4,76.5833,28.09,46,77,4.92,IN,1712796557
277,savsat,41.2403,42.3611,8.69,93,100,0.57,TR,1712796558
278,haiku-pauwela,20.9219,-156.3051,28.01,61,20,7.72,US,1712796558
